Country,OverallCDI,OverallCV,OverallPC,OverallPop08,WeatherCDI,WeatherCV,WeatherPC,SeaCDI,SeaCV,SeaPC,SeaPop08,AgCDI,AgCV,AgPC,AgPop08,Income_per_cap,KKM_score,Area,Island,Sm_Island,Region,WBRegion,Subregion,ISO3,IncomeStatus,WBLendingClass
Afghanistan,31.030,14.833,20.049,27658.89,0.72944,1.00701,0.48418,0.00000,0.00000,0.00000,,41.100,18.288,26.845,21009.69,806,-1.58,652230,0,0,Asia,SAS,Western Asia,AFG,Low Income,IDA
Albania,7.857,0.266,8.502,2984.12,0.02174,0.00212,0.02416,11.46000,1.21232,9.35678,115.54,14.310,0.451,15.654,1589.94,6152,0.16,28748,0,0,Europe,ECA,Eastern Europe,ALB,Lower Middle Income,IBRD
Algeria,20.259,1.060,14.357,33769.67,0.01273,0.00192,0.00926,2.57000,0.42033,1.37326,164.85,59.900,2.918,42.916,11745.09,6625,-0.79,2381741,0,0,Africa,MNA,North Africa,DZA,Upper Middle Income,IBRD
American Samoa,2.675,0.067,2.957,64.83,0.04788,0.00346,0.05437,6.63000,0.51891,5.52684,1.41,33.360,0.778,37.278,4.98,8107,0.36,199,1,1,Oceania,EAP,Pacific Islands,ASM,Upper Middle Income,NC
Andorra,0.896,0.006,1.072,82.63,0.00079,0.00001,0.00097,0.00000,0.00000,0.00000,,8.320,0.049,10.065,9.16,29154,1.35,468,0,0,Europe,ECA,Western Europe,ADO,High Income Non OECD,NC
Angola,18.321,1.581,13.176,12531.36,0.12652,0.03154,0.09348,6.97000,1.88201,3.78318,267.43,42.930,3.449,31.212,5426.08,3940,-0.94,1246700,0,0,Africa,SSA,Central Africa,AGO,Lower Middle Income,IDA
Anguilla,28.642,0.497,43.219,14.11,0.01118,0.00056,0.01733,35.77000,1.94043,40.72840,1.53,65.390,1.056,99.750,5.52,8040,1.35,91,1,1,Latin America & Caribbean,LCR,Caribbean Islands,AIA,Upper Middle Income,NC
Antigua and Barbuda,45.815,1.336,58.418,84.52,0.10554,0.00889,0.13825,22.87000,2.08558,22.00811,5.88,65.390,1.775,84.292,58.78,5855,0.61,443,1,1,Latin America & Caribbean,LCR,Caribbean Islands,ATG,High Income Non OECD,IBRD
Argentina,2.142,0.066,1.468,40482.00,0.66234,0.05864,0.46650,4.31000,0.41373,2.23239,610.52,18.470,0.527,12.801,3238.56,11791,-0.65,2780400,0,0,Latin America & Caribbean,LCR,Southern South America,ARG,Upper Middle Income,IBRD
Armenia,4.763,0.183,5.700,2968.59,0.00277,0.00031,0.00340,0.00000,0.00000,0.00000,,13.560,0.484,16.409,1072.85,4803,0.32,29743,0,0,Europe,ECA,Eastern Europe,ARM,Lower Middle Income,Blend
Aruba,36.784,0.606,45.505,101.54,0.02474,0.00118,0.03144,31.56000,1.62591,29.45879,9.80,65.390,1.003,81.780,54.04,10766,0.85,180,1,1,Latin America & Caribbean,LCR,Caribbean Islands,ABW,High Income Non OECD,NC
Australia,5.065,0.024,6.556,21007.31,0.52016,0.00707,0.69170,7.64000,0.11246,7.46485,852.72,38.940,0.171,50.951,2365.42,35818,1.78,7741220,0,0,Oceania,EAP,AustraliaNZ,AUS,High Income OECD,NC
Austria,2.656,0.013,3.322,8205.53,0.00237,0.00003,0.00305,0.00000,0.00000,0.00000,,8.320,0.038,10.521,2694.70,35632,1.64,83871,0,0,Europe,ECA,Western Europe,AUT,High Income OECD,NC
Azerbaijan,6.995,0.343,6.444,8177.72,0.00243,0.00034,0.00230,0.00000,0.00000,0.00000,,14.980,0.684,13.946,3931.85,5144,-0.32,86600,0,0,Asia,ECA,Western Asia,AZE,Lower Middle Income,Blend
"Bahamas, The",36.099,0.639,47.838,304.73,0.05334,0.00273,0.07262,100.00000,5.53961,100.00000,80.62,65.390,1.078,87.605,49.67,9212,0.99,13880,1,1,Latin America & Caribbean,LCR,Caribbean Islands,BHS,High Income Non OECD,NC
Bahrain,33.805,0.216,33.944,719.17,0.00189,0.00003,0.00195,99.11000,1.98254,75.09415,215.13,44.930,0.267,45.604,82.56,35790,0.88,741,1,1,Asia,MNA,Middle East,BHR,High Income Non OECD,NC
Bangladesh,53.377,10.986,50.886,151289.98,25.48546,15.14901,24.95955,31.26000,20.12272,22.48662,15312.71,36.110,6.918,34.798,110229.89,1172,-0.82,143998,0,0,Asia,SAS,Southern Asia,BGD,Low Income,IDA
Barbados,38.289,1.024,51.315,283.50,0.05708,0.00441,0.07859,2.56000,0.21414,2.58919,2.85,65.390,1.628,88.597,170.55,6011,0.77,430,1,1,Latin America & Caribbean,LCR,Caribbean Islands,BRB,High Income Non OECD,NC
