Country,OCDI_tile,OCV_tile,OPC_tile,WCV_tile,SCV_tile,ACV_tile,,,,,,,,
Afghanistan,78,96,63,92,0,96,,,,,,,,
Albania,34,39,35,42,65,32,,,,,,,,
Algeria,59,59,49,41,50,67,,,,,,,,
American Samoa,10,25,12,46,53,41,,,,,,,,
Andorra,5,5,5,2,0,10,,,,,,,,
Angola,54,65,46,67,75,70,,,,,,,,
Anguilla,76,49,90,31,75,47,,,,,,,,
Antigua and Barbuda,93,61,97,55,78,57,,,,,,,,
Argentina,7,24,6,76,49,34,,,,,,,,
Armenia,22,34,25,27,0,33,,,,,,,,
Aruba,88,51,91,35,73,46,,,,,,,,
Australia,23,14,30,52,28,22,,,,,,,,
Austria,10,7,14,8,0,9,,,,,,,,
Azerbaijan,31,42,29,29,0,38,,,,,,,,
"Bahamas, The",87,52,92,44,87,49,,,,,,,,
Bahrain,83,36,83,8,77,25,,,,,,,,
Bangladesh,97,93,94,100,97,86,,,,,,,,
Barbados,89,58,94,48,34,56,,,,,,,,
Belarus,14,34,8,23,0,38,,,,,,,,
Belgium,3,3,3,11,25,11,,,,,,,,
Belize,63,57,59,81,86,54,,,,,,,,
Benin,81,86,86,70,92,87,,,,,,,,
Bermuda,24,14,25,17,56,26,,,,,,,,
Bhutan,63,67,55,54,0,63,,,,,,,,
Bolivia,75,74,61,94,0,82,,,,,,,,
Bosnia and Herzegovina,32,40,31,39,0,34,,,,,,,,
Botswana,77,48,81,32,0,50,,,,,,,,
Brazil,26,32,23,76,33,39,,,,,,,,
British Virgin Islands,80,41,79,24,72,36,,,,,,,,
Brunei Darussalam,36,20,37,22,34,22,,,,,,,,
Bulgaria,18,25,20,19,0,25,,,,,,,,
Burkina Faso,79,86,88,61,0,83,,,,,,,,
Burundi,98,100,97,95,0,99,,,,,,,,
Cambodia,86,84,88,88,72,81,,,,,,,,
Cameroon,45,66,45,36,71,72,,,,,,,,
Canada,5,5,5,50,24,3,,,,,,,,
Cape Verde,62,64,72,42,80,71,,,,,,,,
Cayman Islands,37,29,44,25,74,35,,,,,,,,
Central African Republic,99,99,93,78,0,98,,,,,,,,
Chad,91,92,77,57,0,91,,,,,,,,
Chile,21,21,32,50,22,30,,,,,,,,
China,100,85,100,99,61,24,,,,,,,,
Colombia,43,46,50,87,40,50,,,,,,,,
Comoros,65,91,53,69,94,91,,,,,,,,
"Congo, Dem. Rep.",49,96,48,80,23,97,,,,,,,,
"Congo, Rep.",88,82,69,62,81,90,,,,,,,,
Cook Islands,71,54,74,36,87,43,,,,,,,,
Costa Rica,48,41,56,79,36,41,,,,,,,,
Cote d'Ivoire,41,71,40,34,95,72,,,,,,,,
Croatia,27,28,28,19,25,24,,,,,,,,
Cuba,50,81,36,82,93,94,,,,,,,,
Cyprus,9,11,13,15,31,12,,,,,,,,
Czech Republic,7,11,10,18,0,13,,,,,,,,
Denmark,2,2,2,2,49,2,,,,,,,,
Djibouti,67,78,67,93,97,69,,,,,,,,
Dominica,52,61,66,79,64,77,,,,,,,,
Dominican Republic,58,56,59,67,54,64,,,,,,,,
Ecuador,51,58,38,65,67,65,,,,,,,,
"Egypt, Arab Rep.",0,0,0,8,85,0,,,,,,,,
El Salvador,47,49,57,64,41,51,,,,,,,,
Equatorial Guinea,99,63,68,17,42,60,,,,,,,,
Eritrea,73,98,41,91,84,97,,,,,,,,
